"audio","length","trial_start","trial_end","understand","angry","intend","hostile","blame","subID"
"audio/1.wav",42,37.0752870840079,79.1592992090154,9,8.1,0.9,0.9,7.2,"01"
"audio/2.wav",38,144.217420875008,182.23090629201,0,6.3,3.6,2.7,8.1,"01"
"audio/3.wav",40,242.570425917016,282.581921917008,9,6.3,0.9,0.9,5.4,"01"
"audio/4.wav",33,326.402496249997,359.410265542014,9,8.1,9,9,9,"01"
"audio/5.wav",43,393.361104667012,436.378044417012,9,6.3,2.7,4.5,8.1,"01"
"audio/6.wav",34,486.769182084012,520.776558959013,9,8.1,8.1,6.3,8.1,"01"
"audio/7.wav",45,574.297070708999,619.312322042009,8,2.7,0.9,3.6,3.6,"01"
"audio/8.wav",40,663.178619792016,703.187801042019,9,2.7,0.9,2.7,2.7,"01"
"audio/9.wav",38,742.370501833997,780.378614667017,9,7.2,7.2,4.5,7.2,"01"
"audio/10.wav",38,834.906565375015,872.914254000003,9,7.2,1.8,3.6,6.3,"01"
"audio/11.wav",27,922.897872792004,949.905277667014,9,5.4,4.5,4.5,5.4,"01"
"audio/12.wav",39,996.106021749991,1035.11417225,9,7.2,6.3,6.3,9,"01"
"audio/13.wav",40,1076.570974959,1116.57871375,9,5.4,4.5,2.7,5.4,"01"
"audio/14.wav",43,1157.83362408401,1200.842378,9,7.2,7.2,8.1,8.1,"01"
"audio/15.wav",19,1242.32938508401,1261.337696542,9,6.3,6.3,4.5,8.1,"01"
"audio/16.wav",42,1299.27503262501,1341.284117459,9,7.2,2.7,2.7,7.2,"01"
"audio/17.wav",38,1390.85730854201,1428.86561837501,9,7.2,7.2,6.3,8.1,"01"
"audio/18.wav",39,1462.10561212501,1501.11323016701,9,9,7.2,7.2,8.1,"01"
"audio/19.wav",44,1535.738958709,1579.74686341701,9,4.5,3.6,2.7,5.4,"01"
"audio/20.wav",46,1616.76980879201,1662.78276370899,9,5.4,4.5,4.5,6.3,"01"
"audio/21.wav",42,1701.45783266702,1743.46587429201,9,1.8,2.7,2.7,1.8,"01"
"audio/1.wav",42,14.6122447079979,56.6635009169986,9,7.2,0.9,1.8,7.2,"02"
"audio/2.wav",38,114.196067625016,152.209716208017,9,2.7,0.9,0.9,3.6,"02"
"audio/3.wav",40,207.763838167011,247.775687707996,9,6.3,0.9,3.6,8.1,"02"
"audio/4.wav",33,298.003056167014,331.011485666997,9,8.1,9,8.1,9,"02"
"audio/5.wav",43,374.634847458015,417.646834500018,9,7.2,6.3,7.2,5.4,"02"
"audio/6.wav",34,460.212037374993,494.219220375002,9,4.5,3.6,4.5,4.5,"02"
"audio/7.wav",45,540.298217500007,585.310829166992,9,2.7,2.7,1.8,2.7,"02"
"audio/8.wav",40,627.683573207993,667.691231500008,9,0.9,9,7.2,0.9,"02"
"audio/9.wav",38,718.506966957997,756.515935958014,9,3.6,3.6,2.7,4.5,"02"
"audio/10.wav",38,802.011474917002,840.018755416997,9,8.1,7.2,8.1,8.1,"02"
"audio/11.wav",27,875.387024833006,902.393756667006,9,6.3,5.4,4.5,5.4,"02"
"audio/12.wav",39,943.883319792018,982.891245708015,9,6.3,2.7,2.7,6.3,"02"
"audio/13.wav",40,1022.20350895802,1062.21154641701,9,6.3,0.9,0.9,3.6,"02"
"audio/14.wav",43,1099.81754816702,1142.82591804201,9,7.2,6.3,6.3,6.3,"02"
"audio/15.wav",19,1186.370325583,1205.37846929202,9,5.4,1.8,1.8,6.3,"02"
"audio/16.wav",42,1247.441846375,1289.45147533301,9,8.1,7.2,6.3,7.2,"02"
"audio/17.wav",38,1328.63413766702,1366.64228237502,9,7.2,8.1,8.1,8.1,"02"
"audio/18.wav",39,1403.57882629201,1442.58681483302,9,8.1,7.2,7.2,6.3,"02"
"audio/19.wav",44,1481.29747720799,1525.30529370799,9,7.2,0.9,0.9,1.8,"02"
"audio/20.wav",46,1564.666045208,1610.678258042,9,4.5,2.7,2.7,5.4,"02"
"audio/21.wav",42,1652.090653375,1694.099876625,9,6.3,5.4,1.8,2.7,"02"
"audio/1.wav",42,44.6899305840197,86.7472544590128,9,7.2,4.5,6.3,6.3,"03"
"audio/2.wav",38,138.993243167002,177.006818209018,9,6.3,7.2,6.3,8.1,"03"
"audio/3.wav",40,222.593295333994,262.604822958994,9,3.6,1.8,0.9,1.8,"03"
